"ID"	"method"	"date"	"eventDate"	"NO2"	"NO2_N"	"NO3"	"NO3_N"	"PO4"	"PO4_P"	"NH4"	"NH4_N"	"equipment"	"NO2_lower_limit_of_quantification_mgL"	"NO2_upper_limit_of_quantification_mgL"	"NO3_lower_limit_of_quantification_mgL"	"NO3_upper_limit_of_quantification_mgL"	"PO4_lower_limit_of_quantification_mgL"	"PO4_upper_limit_of_quantification_mgL"	"NH4_lower_limit_of_quantification_mgL"	"NH4_upper_limit_of_quantification_mgL"
"S35"	"grab"	"2018-06-06"		0.25	0.076	0	0	0.5	0.163	0	0	"Colorimetric Test"								
"S35"	"grab"	"2019-05-01"		0.099	0.03	13.09	2.957	0.037	0.012	0.05	0.039	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S35"	"grab"	"2019-07-03"		0.049	0.015	13.723	3.1	0.141	0.046	0.051	0.04	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S35"	"eds"	"2019-05-08"	"2019-05-07"	0.034	0.01	2.68	0.605	0	0	0.128	0.099	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S35"	"eds"	"2019-06-12"	"2019-06-08"	0.259	0.079	11.377	2.57	0.322	0.105	0.071	0.055	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S35"	"eds"	"2019-05-22"	"2019-05-20"	1.772	0.54	60.894	13.756	3.737	1.218	1.521	1.181	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S35"	"eds"	"2019-04-28"	"2019-04-26"	0.043	0.013	11.55	2.609	0.055	0.018	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S35"	"eds"	"2019-05-18"	"2019-05-16"	0.035	0.011	11.4	2.575	0	0	0	0	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S36"	"eds"	"2018-06-21"	"2018-06-21"	0.05	0.015	10	2.259	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S36"	"grab"	"2018-05-04"		0.15	0.046	5	1.129	0	0	0	0	"Colorimetric Test"								
"S36"	"grab"	"2018-05-22"		0.25	0.076	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S36"	"grab"	"2018-10-15"										"Colorimetric Test"								
"S36"	"grab"	"2018-06-05"		0.15	0.046	2	0.452	0.25	0.082	0	0	"Colorimetric Test"								
"S37"	"grab"	"2019-05-22"		0.138	0.042	12.174	2.75	0.224	0.073	0.146	0.113	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S37"	"grab"	"2019-07-09"		0.095	0.029	19.743	4.46	0.159	0.052	0.048	0.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S37"	"grab"	"2019-06-13"		0.108	0.033	13.59	3.07	0.209	0.068	0.098	0.076	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S37"	"grab"	"2019-05-01"		0.082	0.025	13.236	2.99	0.123	0.04	0.05	0.039	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S37"	"grab"	"2019-04-12"		0.066	0.02	12.882	2.91	0	0	0.053	0.041	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S38"	"eds"	"2019-06-12"		0.039	0.012	53.077	11.99	0	0	0.031	0.024	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S38"	"grab"	"2019-06-12"		0.154	0.047	20.496	4.63	0.301	0.098	0.108	0.084	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S38"	"grab"	"2019-07-03"				16.954	3.83	0.435	0.142			"Photometer"			1	60	0.15	4.5		
"S38"	"grab"	"2019-05-22"		0.099	0.03	69.874	15.785	0	0	0.035	0.027	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S38"	"eds"	"2019-05-22"	"2019-05-20"	0.65	0.198	105.827	23.906	1.834	0.598	0.495	0.384	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S38"	"grab"	"2019-05-01"		0.056	0.017	22.4	5.06	0	0	0.056	0.044	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S38"	"grab"	"2019-04-09"		0	0	0.16	0.036	0	0	0.039	0.03	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S39"	"grab"	"2019-07-03"				3.807	0.86	0.196	0.064			"Photometer"			1	60	0.15	4.5		
"S39"	"eds"	"2019-05-22"	"2019-05-20"	2.466	0.751	46.12	10.419	11.26	3.672	2.041	1.585	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S39"	"eds"	"2019-06-05"	"2019-05-03"	0.184	0.056	11.996	2.71	0.359	0.117	0.6	0.466	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
