"ID"	"method"	"date"	"eventDate"	"NO2"	"NO2_N"	"NO3"	"NO3_N"	"PO4"	"PO4_P"	"NH4"	"NH4_N"	"equipment"	"NO2_lower_limit_of_quantification_mgL"	"NO2_upper_limit_of_quantification_mgL"	"NO3_lower_limit_of_quantification_mgL"	"NO3_upper_limit_of_quantification_mgL"	"PO4_lower_limit_of_quantification_mgL"	"PO4_upper_limit_of_quantification_mgL"	"NH4_lower_limit_of_quantification_mgL"	"NH4_upper_limit_of_quantification_mgL"
"S53"	"grab"	"2019-07-01"		0.181	0.055	10.226	2.31	0.837	0.273	0.124	0.096	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S53"	"grab"	"2018-05-08"		0.02	0.006	1.5	0.339	0.4	0.13	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-07-10"		0.01	0.003	1.8	0.407	0.7	0.228	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-04-18"		0.01	0.003	4.5	1.017	0.2	0.065	0.3	0.233	"Colorimetric Test"								
"S54"	"eds"	"2018-07-16"	"2018-07-16"	0.02	0.006	1.3	0.294	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-06-20"		0.01	0.003	1.8	0.407	1.8	0.587	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-05-29"		0.01	0.003	1.5	0.339	2	0.652	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-03-19"		0.01	0.003	4.3	0.971	0.6	0.196	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-07-30"		0.01	0.003	2.9	0.655	1	0.326	0.1	0.078	"Colorimetric Test"								
"S54"	"grab"	"2018-05-09"		0.01	0.003	3.3	0.745	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-05-29"		0.02	0.006	2.4	0.542	1.1	0.359	0.1	0.078	"Colorimetric Test"								
"S55"	"eds"	"2018-07-06"	"2018-07-06"	0.01	0.003	1	0.226	1.5	0.489	0.5	0.388	"Colorimetric Test"								
"S55"	"grab"	"2018-05-09"		0.02	0.006	1.7	0.384	0.4	0.13	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-07-10"		0.02	0.006	2.4	0.542	0.8	0.261	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-06-20"		0.02	0.006	1.6	0.361	1.2	0.391	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-04-18"		0.02	0.006	8.9	2.011	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-07-30"		0.01	0.003	2.2	0.497	0.9	0.293	0.1	0.078	"Colorimetric Test"								
"S55"	"grab"	"2018-03-19"		0.01	0.003	1.7	0.384	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S55"	"eds"	"2018-07-16"	"2018-07-16"	0.13	0.04	0.8	0.181	0.2	0.065	0.5	0.388	"Colorimetric Test"								
"S56"	"grab"	"2018-03-20"		0.01	0.003	1.6	0.361	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S56"	"grab"	"2018-05-30"		0.01	0.003	1.3	0.294	1.1	0.359	0.1	0.078	"Colorimetric Test"								
"S56"	"grab"	"2019-06-11"		0.066	0.02	7.437	1.68	0.592	0.193	0.062	0.048	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S56"	"grab"	"2019-05-21"		0.207	0.063	7.525	1.7	0.702	0.229	0.118	0.092	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S56"	"grab"	"2019-07-01"		0.118	0.036	10.846	2.45	1.248	0.407	0.086	0.067	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S56"	"grab"	"2019-04-29"		0.072	0.022	5.622	1.27	0.199	0.065	0.059	0.046	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S56"	"grab"	"2018-04-18"		0.03	0.009	2	0.452	1	0.326	0.1	0.078	"Colorimetric Test"								
"S56"	"grab"	"2018-06-21"		0.01	0.003	1.4	0.316	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S56"	"grab"	"2019-04-08"		0.066	0.02	7.393	1.67	0.264	0.086	0.04	0.031	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S56"	"grab"	"2018-07-31"		0.01	0.003	1.5	0.339	0.4	0.13	0.2	0.155	"Colorimetric Test"								
"S56"	"eds"	"2018-07-21"	"2018-07-21"	0.08	0.024	1.1	0.248	1.4	0.457	1.5	1.165	"Colorimetric Test"								
"S56"	"grab"	"2018-05-08"		0.01	0.003	1.6	0.361	0.7	0.228	0.1	0.078	"Colorimetric Test"								
"S56"	"grab"	"2018-07-11"		0.01	0.003	1.3	0.294	1.4	0.457	0.1	0.078	"Colorimetric Test"								
"S57"	"grab"	"2019-04-08"		0.466	0.142	39.973	9.03	0.353	0.115	0.258	0.2	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S57"	"grab"	"2019-07-01"		0.722	0.22	22.975	5.19	0.862	0.281	0.256	0.199	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S57"	"grab"	"2019-05-21"		1.97	0.6	26.959	6.09	0.84	0.274	2.576	2	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S57"	"grab"	"2019-04-29"		0.529	0.161	32.448	7.33	1.42	0.463	0.31	0.241	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S57"	"grab"	"2019-06-11"		0.9	0.274	16.069	3.63	1.362	0.444	0.24	0.186	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S58"	"grab"	"2018-05-30"		0.02	0.006	18	4.066	1.7	0.554	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2018-05-08"		0.01	0.003	2.5	0.565	0.6	0.196	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2019-05-21"		0.174	0.053	7.26	1.64	0.5	0.163	0.124	0.096	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S58"	"grab"	"2018-07-11"		0.01	0.003	2.9	0.655	0.8	0.261	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2018-07-31"		0.01	0.003	2.8	0.633	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2019-06-11"		0.118	0.036	13.192	2.98	0.187	0.061	0.091	0.071	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S58"	"grab"	"2019-04-08"		0.059	0.018	10.359	2.34	0.19	0.062	0.048	0.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S58"	"grab"	"2018-03-20"		0.01	0.003	2	0.452	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2019-04-29"		0.069	0.021	10.27	2.32	0.153	0.05	0.07	0.054	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S58"	"grab"	"2018-04-19"		0.01	0.003	2.2	0.497	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S58"	"grab"	"2018-06-21"		0.02	0.006	3.8	0.858	0.5	0.163	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2018-07-10"		0.02	0.006	2.7	0.61	0.4	0.13	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2018-04-17"		0.05	0.015	3.7	0.836	0.2	0.065	0.3	0.233	"Colorimetric Test"								
"S59"	"grab"	"2018-05-29"		0.01	0.003	1.5	0.339	1.6	0.522	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2018-07-30"		0.01	0.003	1.3	0.294	1	0.326	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2018-03-19"		0.03	0.009	1.6	0.361	0.2	0.065	0.2	0.155	"Colorimetric Test"								
"S59"	"grab"	"2019-06-12"		0.158	0.048	4.427	1	0.153	0.05	0.125	0.097	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S59"	"grab"	"2019-05-20"		0.233	0.071	4.958	1.12	1.26	0.411	0.196	0.152	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S59"	"grab"	"2018-06-20"		0.002	0.001	1.3	0.294	0.7	0.228	0.1	0.078	"Colorimetric Test"								
"S59"	"eds"	"2018-07-16"	"2018-07-16"	0.04	0.012	1	0.226	0.02	0.007	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2019-04-29"		0.273	0.083	4.869	1.1	0.301	0.098	0.255	0.198	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S59"	"grab"	"2018-05-09"		0.01	0.003	1.1	0.248	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S59"	"grab"	"2019-07-03"		0.069	0.021	6.773	1.53	0.331	0.108	0.04	0.031	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S59"	"grab"	"2019-04-10"		0.161	0.049	2.213	0.5	3.076	1.003	0.019	0.015	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"grab"	"2019-07-03"		0.112	0.034	4.737	1.07	0.359	0.117	0.091	0.071	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"grab"	"2018-03-19"		0.01	0.003	2.2	0.497	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2018-05-09"		0.02	0.006	1.6	0.361	0.3	0.098	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2018-05-29"		0.01	0.003	1	0.226	0.9	0.293	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2018-04-17"		0.01	0.003	2	0.452	0.2	0.065	0.2	0.155	"Colorimetric Test"								
"S60"	"grab"	"2019-06-12"		0.259	0.079	1.505	0.34	0.153	0.05	1.248	0.969	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"grab"	"2018-07-30"		0.02	0.006	1.1	0.248	0.2	0.065	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2019-04-09"		0.069	0.021	1.549	0.35	0.153	0.05	0.019	0.015	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"eds"	"2018-07-16"	"2018-07-16"	0.01	0.003	1	0.226	0.02	0.007	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2019-04-29"		0.082	0.025	6.507	1.47	0.196	0.064	0.094	0.073	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"grab"	"2018-06-20"		0.01	0.003	1.6	0.361	0.6	0.196	0.1	0.078	"Colorimetric Test"								
"S60"	"grab"	"2019-05-20"		0.095	0.029	6.065	1.37	0.175	0.057	0.07	0.054	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S60"	"grab"	"2018-07-10"		0.01	0.003	1	0.226	0.9	0.293	0.1	0.078	"Colorimetric Test"								
"S61"	"grab"	"2019-07-04"		0.053	0.016	23.152	5.23	0.028	0.009	0.063	0.049	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S61"	"grab"	"2019-05-02"		0.085	0.026	24.745	5.59	0.239	0.078	0.027	0.021	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S61"	"grab"	"2019-06-14"		0.112	0.034	24.745	5.59	0.11	0.036	0.127	0.099	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S61"	"grab"	"2019-05-23"		0.102	0.031	23.152	5.23	0.166	0.054	0.049	0.038	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S61"	"eds"	"2019-06-14"	"2019-06-10"	0.345	0.105	20.274	4.58	0.699	0.228	0.952	0.739	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S61"	"grab"	"2019-04-08"		0.043	0.013	25.321	5.72	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S62"	"grab"	"2018-06-13"		0.15	0.046	10	2.259	0	0	0	0	"Colorimetric Test"								
"S62"	"grab"	"2018-05-08"		0.15	0.046	17.5	3.953	0.125	0.041	0	0	"Colorimetric Test"								
"S63"	"grab"	"2018-05-08"		0.15	0.046	0	0	0.125	0.041	0	0	"Colorimetric Test"								
"S63"	"eds"	"2019-05-22"	"2019-05-21"	0.502	0.153	20.894	4.72	1.401	0.457	1.274	0.989	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S63"	"grab"	"2019-05-01"		0.204	0.062	26.295	5.94	4.768	1.555	0.084	0.065	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S63"	"grab"	"2019-06-13"		0.755	0.23	22.576	5.1	3.471	1.132	0.545	0.423	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S63"	"grab"	"2019-07-05"		0.161	0.049	22.311	5.04	0.699	0.228	0.071	0.055	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S63"	"grab"	"2018-06-14"		0.15	0.046	20	4.518	0.25	0.082	0	0	"Colorimetric Test"								
"S63"	"grab"	"2019-04-09"		0.102	0.031	31.164	7.04	0.031	0.01	0.058	0.045	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S64"	"grab"	"2018-06-13"		0.05	0.015	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S64"	"grab"	"2018-05-08"		0.15	0.046	10	2.259	0.125	0.041	0	0	"Colorimetric Test"								
"S65"	"grab"	"2019-07-04"		0.056	0.017	20.584	4.65	0.031	0.01	0.006	0.005	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"grab"	"2019-05-01"		0.079	0.024	23.772	5.37	5.495	1.792	0.033	0.026	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"grab"	"2019-06-13"		0.059	0.018	17.84	4.03	0.083	0.027	0.045	0.035	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"eds"	"2019-05-27"	"2019-05-26"	0.141	0.043	16.512	3.73	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"grab"	"2019-05-22"		0.069	0.021	21.691	4.9	0.129	0.042	0.022	0.017	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"grab"	"2019-04-09"		0.066	0.02	25.852	5.84	0	0	0.07	0.054	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S65"	"eds"	"2019-06-13"	"2019-06-11"	0.089	0.027	16.91	3.82	5.44	1.774	0.014	0.011	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S66"	"grab"	"2019-04-15"		0.116	0.035	28.36	6.407	0.06	0.02	1.26	0.978	"Photometer"	0.05	2	1	60	0.15	4.5	2.5	60
"S66"	"grab"	"2019-04-29"		0.197	0.06	28.28	6.388	0.221	0.072	0.046	0.035	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S66"	"grab"	"2019-06-10"		0.102	0.031	18.814	4.25	0.31	0.101	0.047	0.036	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S66"	"grab"	"2019-05-20"		0.125	0.038	21.39	4.832	0	0	0.045	0.035	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S66"	"grab"	"2019-07-01"		0.072	0.022	22.886	5.17	0.469	0.153	0.054	0.042	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S67"	"grab"	"2018-10-22"		0.15	0.046	5	1.129	0.25	0.082	0	0	"Colorimetric Test"								
"S67"	"grab"	"2018-06-08"		0.5	0.152	25	5.648	0.75	0.245	0	0	"Colorimetric Test"								
"S67"	"grab"	"2018-05-01"		0.75	0.228	50	11.295	0.75	0.245	0.25	0.194	"Colorimetric Test"								
"S68"	"grab"	"2018-06-08"		0.15	0.046	0	0	2.5	0.815	1	0.776	"Colorimetric Test"								
"S68"	"grab"	"2018-04-30"		1	0.304	10	2.259	0.25	0.082	0.25	0.194	"Colorimetric Test"								
"S68"	"eds"	"2018-06-25"	"2018-06-25"	0.375	0.114	17.5	3.953	1.5	0.489	0.25	0.194	"Colorimetric Test"								
"S68"	"eds"	"2018-06-02"	"2018-06-02"	1	0.304	10	2.259	3	0.978	0.5	0.388	"Colorimetric Test"								
"S69"	"grab"	"2018-10-22"		0.05	0.015	5	1.129	0.5	0.163	0	0	"Colorimetric Test"								
"S69"	"grab"	"2018-05-01"										"Colorimetric Test"								
"S69"	"grab"	"2018-06-08"		0.15	0.046	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S69"	"eds"	"2018-05-30"	"2018-05-30"	0.2	0.061	25	5.648	1.75	0.571	0.3	0.233	"Colorimetric Test"								
"S70"	"grab"	"2019-04-29"		0.183	0.056	78.7	17.778	1.485	0.484	0.033	0.026	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"grab"	"2019-06-10"		0.23	0.07	108.588	24.53	0.23	0.075	0.167	0.13	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"grab"	"2019-07-01"		0.184	0.056	109.562	24.75	0.319	0.104	0.089	0.069	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"eds"	"2019-04-29"	"2019-04-26"	1.099	0.335	91.02	20.561	0.054	0.018	0.52	0.404	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"eds"	"2019-06-25"	"2019-06-21"	1.179	0.359	4.56	1.03	0.607	0.198	1.581	1.228	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"grab"	"2019-04-08"		0.21	0.064	96.505	21.8	0.082	0.027	0.045	0.035	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S70"	"grab"	"2019-05-20"		0.19	0.058	70.601	15.949	4.762	1.553	0.091	0.071	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S71"	"grab"	"2018-10-22"		0.25	0.076	20	4.518	0.5	0.163	0.2	0.155	"Colorimetric Test"								
"S71"	"eds"	"2018-05-21"	"2018-05-21"	1	0.304	50	11.295	0.25	0.082	0	0	"Colorimetric Test"								
"S71"	"grab"	"2018-06-08"										"Colorimetric Test"								
"S71"	"grab"	"2018-05-01"		0.75	0.228	75	16.942	0.5	0.163	0.2	0.155	"Colorimetric Test"								
"S72"	"grab"	"2018-04-30"		0.05	0.015	5	1.129	0.15	0.049	0	0	"Colorimetric Test"								
"S72"	"grab"	"2018-06-05"		0.05	0.015	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S72"	"eds"	"2018-05-18"	"2018-05-18"	0.15	0.046	2	0.452	0.2	0.065	0.5	0.388	"Colorimetric Test"								
"S73"	"eds"	"2018-05-31"	"2018-05-31"	0.5	0.152	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S73"	"grab"	"2018-06-05"		0.05	0.015	25	5.648	0.25	0.082	0.5	0.388	"Colorimetric Test"								
"S73"	"grab"	"2018-05-01"		0.05	0.015	10	2.259	0	0	0	0	"Colorimetric Test"								
"S73"	"grab"	"2018-10-15"		0.5	0.152	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S74"	"eds"	"2018-05-29"	"2018-05-29"	0.15	0.046	0	0	0.5	0.163	0	0	"Colorimetric Test"								
"S74"	"grab"	"2019-06-11"		0.072	0.022	1.549	0.35	0.451	0.147	0.056	0.043	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S74"	"grab"	"2019-04-03"		0.036	0.011	2.789	0.63	0.104	0.034	0.019	0.015	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S74"	"grab"	"2018-05-29"		0.15	0.046	0	0	0.5	0.163	0	0	"Colorimetric Test"								
"S74"	"grab"	"2018-10-24"		0	0	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S74"	"grab"	"2019-04-30"		0.118	0.036	4.42	0.998	0.212	0.069	0.108	0.084	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S74"	"grab"	"2018-05-01"		0.15	0.046	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S74"	"eds"	"2019-06-04"	"2019-06-06"	0	0	1.948	0.44	0.445	0.145	0.113	0.088	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S74"	"eds"	"2018-06-01"	"2018-06-01"	0.25	0.076	0	0	0.1	0.033	0	0	"Colorimetric Test"								
"S74"	"grab"	"2019-05-21"		0.141	0.043	74.502	16.83	0.117	0.038	0.095	0.074	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S74"	"eds"	"2019-05-21"		0.076	0.023	73.263	16.55	0	0	0.035	0.027	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S74"	"grab"	"2018-06-05"		0.15	0.046	0	0	0.75	0.245	0	0	"Colorimetric Test"								
"S75"	"grab"	"2019-05-24"		0.161	0.049	27.43	6.196	0.705	0.23	0.025	0.019	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S75"	"grab"	"2019-04-11"		0.082	0.025	11.76	2.657	0	0	0.013	0.01	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S75"	"eds"	"2019-06-21"	"2019-06-20"	0	0	8.632	1.95	0	0	0.094	0.073	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S75"	"grab"	"2019-05-03"		0.111	0.034	23.77	5.37	0.052	0.017	0.022	0.017	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S75"	"grab"	"2019-06-14"				15.361	3.47	0.301	0.098	0.263	0.204	"Photometer"			1	60	0.15	4.5	0.02	2.5
"S75"	"eds"	"2019-06-07"	"2019-06-03"	0	0	2.568	0.58	0.172	0.056	0.373	0.29	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S75"	"eds"	"2019-05-24"	"2019-05-20"	0.003	0.001	22.75	5.139	0.006	0.002	0	0	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S75"	"eds"	"2019-06-14"	"2019-06-12"	0.365	0.111	11.067	2.5	0.006	0.002	0.048	0.037	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S75"	"eds"	"2019-05-03"	"2019-04-30"	0.255	0.078	21.03	4.751	0	0	0.017	0.013	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S76"	"grab"	"2018-10-15"		0.25	0.076	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S76"	"eds"	"2019-05-21"	"2019-05-20"	0.276	0.084	13.324	3.01	0.196	0.064	0.317	0.246	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S76"	"eds"	"2019-05-13"	"2019-05-11"	0.122	0.037	21.13	4.773	0.107	0.035	0.002	0.002	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S76"	"grab"	"2019-05-21"		0.131	0.04	10.491	2.37	0.101	0.033	0.088	0.068	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S76"	"grab"	"2018-05-01"		0.15	0.046	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S76"	"grab"	"2019-04-16"		0.094	0.029	19.87	4.489	0.148	0.048	0.054	0.042	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S76"	"grab"	"2019-06-11"		0.282	0.086	25.277	5.71	0.813	0.265	0.252	0.196	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S76"	"grab"	"2019-07-02"				22.045	4.98	1.558	0.508			"Photometer"			1	60	0.15	4.5		
"S76"	"grab"	"2018-06-05"		0.05	0.015	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S76"	"eds"	"2019-04-28"	"2019-04-27"	0.204	0.062	20.85	4.71	0	0	0	0	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S76"	"grab"	"2019-04-30"		0.084	0.026	18.44	4.166	0.134	0.044	0.083	0.064	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S77"	"eds"	"2018-06-01"	"2018-06-01"	0.15	0.046	10	2.259	0.75	0.245	0.5	0.388	"Colorimetric Test"								
"S77"	"grab"	"2018-06-07"		0.05	0.015	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S77"	"eds"	"2018-06-14"	"2018-06-14"	0.15	0.046	25	5.648	0	0	0.5	0.388	"Colorimetric Test"								
"S77"	"eds"	"2018-06-24"	"2018-06-24"	0.15	0.046	10	2.259	0.5	0.163	0.25	0.194	"Colorimetric Test"								
"S77"	"grab"	"2018-10-17"		0.15	0.046	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S77"	"grab"	"2018-05-01"		0.15	0.046	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S77"	"eds"	"2018-05-24"	"2018-05-24"	0.15	0.046	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S78"	"grab"	"2019-05-02"		0.056	0.017	43.57	9.842	2.395	0.781	0.008	0.007	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"eds"	"2019-05-23"	"2019-05-20"	0.079	0.024	38.16	8.62	0	0	0.048	0.037	"Photometer"	0.05	2	1	60	1.5	15	0.02	2.5
"S78"	"eds"	"2019-06-13"	"2019-06-12"	0.647	0.197	32.404	7.32	1.938	0.632	0.452	0.351	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"grab"	"2019-04-12"		0.059	0.018	46.73	10.556	0.03	0.01	0.029	0.023	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"grab"	"2019-05-23"		0.056	0.017	41.77	9.436	0	0			"Photometer"	0.05	2	1	60	1.5	15		
"S78"	"eds"	"2019-07-04"		0.745	0.227	5.799	1.31	4.882	1.592	1.012	0.786	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"eds"	"2019-06-18"	"2019-06-16"	0.325	0.099	38.158	8.62	0.626	0.204	0.244	0.189	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"grab"	"2018-05-01"		0.15	0.046	50	11.295	0	0	0	0	"Colorimetric Test"								
"S78"	"grab"	"2018-06-07"		0.05	0.015	10	2.259	0.5	0.163	0	0	"Colorimetric Test"								
"S78"	"grab"	"2019-07-04"		0.144	0.044	39.265	8.87	0.307	0.1	0.117	0.091	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S78"	"grab"	"2018-10-17"		0.05	0.015	25	5.648	0.25	0.082	0	0	"Colorimetric Test"								
"S78"	"grab"	"2019-06-13"		0.204	0.062	35.591	8.04	0.156	0.051	0.103	0.08	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S79"	"grab"	"2018-06-05"		0.15	0.046	10	2.259	0.5	0.163	0.5	0.388	"Colorimetric Test"								
"S79"	"grab"	"2018-05-01"		0.05	0.015	10	2.259	0.25	0.082	0	0	"Colorimetric Test"								
"S79"	"grab"	"2018-10-15"		0.15	0.046	0	0	0.25	0.082	0	0	"Colorimetric Test"								
"S80"	"grab"	"2019-05-02"		0.241	0.073	9.71	2.193	0.369	0.12	0.159	0.123	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"grab"	"2019-05-23"				9.14	2.065	1.374	0.448			"Photometer"			1	60	1.5	15		
"S80"	"grab"	"2019-07-04"		0.2	0.061	2.568	0.58	0.684	0.223	0.072	0.056	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
"S80"	"eds"	"2019-05-13"	"2019-05-11"	0.181	0.055	8.82	1.992	0.442	0.144	0.074	0.058	"Photometer"	0.05	2	1	60	0.15	4.5	0.02	2.5
