"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S49"	"2019-05-06"	"grab"	0.014	5.02	0	2	0	0.004	1.1	0
"S49"	"2019-07-01"	"grab"	0.015	6.4	0	6	0	0.004	2.8	0.03
"S49"	"2019-04-10"	"grab"	0.01	4.83	0.6	2	0	0.003	1	0
"S49"	"2019-06-12"	"eds"	0.047	5.54	0	0	0.11	0	3.5	0
"S50"	"2019-05-21"	"grab"	0.019	1.85	2.2	3	0	0.004	0.7	0
"S50"	"2019-06-12"	"grab"	0.028	3	2.2	0	0	0	0	0
"S50"	"2019-04-10"	"grab"	0.065	5.2	1.5	2	0	0	0	0
"S50"	"2019-05-06"	"grab"	0.01	2.28	1.3	2	0	0.009	0.5	0
"S50"	"2019-06-12"	"eds"	0.2	2.94	2.5	6	0.81	0.021	3.5	0.03
"S50"	"2019-07-01"	"grab"	0.031	2.95	2.5	2	0	0.004	1	0
"S51"	"2018-05-03"	"grab"	0.054	10.2	0	3	0	0.002	7	0.03
"S51"	"2018-05-16"	"eds"			0	7	0		3	0
"S51"	"2018-06-04"	"eds"	0.039	4.95	0.7	0	0	0	1.8	0
"S51"	"2018-05-24"	"grab"	0.24	9.36	0.6	0	0	0.022	1.3	0
"S51"	"2018-06-04"	"eds"	0.026	4.59	0.6	0	0	0.005	1.5	0
"S51"	"2018-05-22"	"eds"			0.6	44	0		1.6	0.03
"S51"	"2018-10-18"	"grab"	0.024	0	0	0	0		0	0.17
"S51"	"2018-06-06"	"grab"	0.016	4.92	0	0	0	0	0.7	0
"S52"	"2018-06-14"	"eds"	0.147	3.17	2.5	2	0	0.008	5.6	0
"S52"	"2018-07-10"	"grab"	0.082	1.13	1.6	0	0	0.004	0	0
"S52"	"2018-07-19"	"eds"	1.86	12.5				0.181		
"S52"	"2018-06-11"	"eds"	2.41	5.02	3.9	2	0	0.086	12.5	0
"S52"	"2018-05-09"	"grab"	0.09	1.29	1	2	0	0.006	0	0
"S53"	"2018-06-13"	"eds"	0.428	3.45	3.5	10	0	0.075	8.3	0
"S53"	"2018-04-09"	"eds"			1.7	93	0		6.5	0.07
"S53"	"2018-06-08"	"eds"	0.455	3.52	4	10	0	0.022	11.6	0
"S53"	"2019-04-10"	"grab"	0.023	1.65	2.3	4	0	0.004	1.1	0
"S53"	"2019-04-29"	"grab"	0.01	1.31	2.9	3	0	0.004	0	0.03
"S53"	"2018-09-07"	"eds"	0.226	4.22	5	23	0	0.022	8.1	0.08
"S53"	"2019-06-11"	"grab"	0.025	1.19	2.6	0	0.08	0.008	1.1	0
"S53"	"2019-05-20"	"grab"	0.034	1.24	3.7	5	0	0.003	0	0.03
"S53"	"2018-05-08"	"grab"	0.065	0.941	2.8	0	0	0.005	0.7	0
"S53"	"2018-08-10"	"eds"	0.737	8.58	5.7	11	0.6	0.387	16.5	0
"S53"	"2019-06-11"	"grab"	0.063	1.12	3.6	4	0.15	0.004	1.5	0.03
"S53"	"2019-07-01"	"grab"	0.099	0.894	5.7	2	0.12	0.011	2.4	0.03
"S53"	"2019-05-08"	"eds"	0.688	0.834						
"S53"	"2018-07-23"	"eds"	1.99	17.2	4.3	12	0.5	0.277	9.4	0.04
"S53"	"2019-05-25"	"eds"	0.567							
"S53"	"2019-06-11"	"grab"	0.33	4.61	3.5	0	0	0	0	0
"S54"	"2018-07-19"	"eds"	1.65	6.89	13.8	3	0	0.061	3.9	0
"S54"	"2018-06-14"	"eds"	0.217	3.45	20.3	0	0	0.008	1.7	0
"S54"	"2018-05-13"	"eds"	0.286	1.69	13	2	0	0.008	2	0
"S54"	"2018-05-09"	"grab"	0.108	1.59	18.9	0	0	0.004	0	0
"S54"	"2018-05-14"	"eds"	0.161	2.65	10.5	5	0	0.006	2.8	0
"S54"	"2018-04-09"	"eds"			10.4	102	1.2		2.3	0.07
"S55"	"2018-07-19"	"eds"	1.9	9.98	7.3	4	0	0.15	8.2	0
"S55"	"2018-04-09"	"eds"			3.9	94	0		2.9	0.02
"S55"	"2018-06-11"	"eds"	0.233	3.14	7.1	6	0	0.008	6.3	0
"S55"	"2018-05-09"	"grab"	0.118	1.28	8.1	0	0	0.005	0	0
"S55"	"2018-04-09"	"eds"			4.2	79	0		3.1	0.04
"S55"	"2018-05-13"	"eds"	0.604	3.08	4.4	11	0	0.019	3.1	0
"S55"	"2018-08-20"	"eds"	1.41	10.6	8.7	120	0	0.168	9.3	0.18
"S55"	"2018-07-06"	"eds"	0.391	1.87	6.3	2	0	0.016	2.9	0
"S55"	"2018-05-14"	"eds"	0.168	3.39	3.8	15	0	0.006	6.3	0
"S56"	"2019-05-21"	"grab"	0.133	2.19	2.2	6	0	0.005	3.8	0
"S56"	"2018-04-09"	"eds"			2	104	0		11.3	0.03
"S56"	"2018-05-13"	"eds"	0.474	3.16	1.5	19	0	0.022	6	0
"S56"	"2018-07-23"	"eds"	0.423	4.51	1.9	44	0	0.013	15.5	0
"S56"	"2019-06-11"	"grab"	0.009	0.371	0	0	0.1	0	0	0.02
"S56"	"2018-06-13"	"eds"	0.338	3.74	1.6	33	0	0.008	12.4	0
"S56"	"2018-05-08"	"grab"	0.134	1.13	2.5	0	0	0.008	1	0
"S56"	"2019-07-01"	"grab"	0.289	2.75	6.8	0	0	0.006	3.4	0
"S56"	"2019-04-29"	"grab"	0.065	1.76	2.4	3	0	0.004	1.3	0
"S56"	"2018-04-09"	"eds"			1.2	210	0.5		14.5	0.02
"S56"	"2019-04-08"	"grab"	0.055	1.95	2.3	2	0	0	2.4	0
"S56"	"2019-06-11"	"grab"	0.009	0.405	0	0	0	0	0.6	0
"S56"	"2019-06-11"	"grab"	0.128	1.57	2.9	4	0	0.004	3.7	0
"S57"	"2019-05-21"	"grab"	0.27	18.4	1.2	13	0	0	2.8	0
"S57"	"2019-07-01"	"grab"	0.064	8.09	1.3	8	0	0.005	6.5	0
"S57"	"2019-06-11"	"grab"	0.522	10.4	0.7	26	0.12	0.006	4.7	0
"S57"	"2019-05-21"	"eds"	1.98	21.5						
"S57"	"2019-05-27"	"eds"			0.9	31	0.06		7.4	0
"S57"	"2019-05-27"	"eds"	0.459	12.9				0.003		
"S57"	"2019-04-24"	"eds"	1.32	9.54				0.015		
"S57"	"2019-04-08"	"grab"	0.106	10.3	1.1	12	0	0	2.5	0
"S57"	"2019-04-29"	"grab"	0.377	8.97	1.3	16	0	0.005	2.3	0
"S58"	"2019-06-11"	"grab"	0.035	3.37	5.6	2	0	0	0.9	0
"S58"	"2019-06-11"	"grab"	0.026	1.11	5.7	0	0	0	0	0
"S58"	"2018-06-13"	"eds"	0.702	5.4	6.1	3	0	0.027	10.8	0
"S58"	"2019-04-08"	"grab"	0.034	2.75	5.4	0	0	0	0.9	0
"S58"	"2019-07-01"	"grab"	0.026	1.78	8.3	0	0	0.006	1.8	0
"S58"	"2018-04-09"	"eds"			4	79	0.9		6	0.06
"S58"	"2018-05-13"	"eds"	0.159	3.46	5.3	7	0	0.016	4.1	0
"S58"	"2019-05-21"	"grab"	0.111	1.57	4.9	9	0	0.007	3.8	0
"S58"	"2018-05-08"	"grab"	0.081	1.37	4.8	0	0	0.003	0	0
"S58"	"2019-04-29"	"grab"	0.03	2.79	4.6	2	0	0.003	0	0
"S58"	"2018-06-08"	"eds"	0.132	3.23	6.3	2	0	0.009	3.3	0
"S59"	"2018-05-09"	"grab"	0.116	0.676	2	2	0	0.007	0	0
"S59"	"2018-07-19"	"eds"	1.85	8.84	2.7	3	0	0.199	6.1	0
"S59"	"2019-04-24"	"eds"	0.374	4.56						
"S59"	"2019-07-03"	"grab"	0.054	0.829	2.3	2	0	0.005	1.8	0
"S59"	"2019-05-20"	"grab"	0.086	1.1	1.9	4	0	0	0	0
"S59"	"2018-08-20"	"eds"	0.705	4.93	2	6	0	0.061	6.3	0
"S59"	"2019-06-12"	"grab"	0.019	0.688	3.1	0	0	0	0	0
"S59"	"2019-06-12"	"grab"	0.018	0.577	3.7	3	0	0	0	0.02
"S59"	"2019-04-10"	"grab"	0.065	1.49	1.9	3	0	0	1.3	0
"S59"	"2019-06-12"	"grab"	0.019	0.808	1.9	4	0	0.005	1.6	0
"S59"	"2018-05-14"	"eds"	0.224	1.58	2.2	5	0	0.005	2.8	0
"S59"	"2018-04-09"	"eds"			2.2	86	0.9		3.7	0.06
"S59"	"2019-04-29"	"grab"	0.076	1.52	1.5	5	0	0.005	0.3	0
"S59"	"2018-06-14"	"eds"	2.43	5.89	2.4	3	0	0.124	5.6	0
"S60"	"2019-07-03"	"grab"	0.066	0.191	2.6	0	0	0.005	2.9	0
"S60"	"2018-07-19"	"eds"	1.93	13.1	2.1	2	0	0.367	4.3	0
"S60"	"2019-06-12"	"grab"	0.052	3.65	1.3	6	0.57	0	0	0
"S60"	"2019-04-09"	"grab"	0.026	2.25	1.6	0	0	0	0.9	0
"S60"	"2018-06-10"	"eds"	1.23	4.91	2.8	0	0	0.073	4.4	0
"S60"	"2019-04-24"	"eds"	0.306	0.127						
"S60"	"2018-04-09"	"eds"			1.5	97	0.6		6.6	0.02
"S60"	"2018-09-07"	"eds"	0.374	3.52	2.3	3	0	0.017	5	0
"S60"	"2019-05-20"	"grab"	0.023	1.22	1.4	0	0	0	0	0
"S60"	"2018-05-14"	"eds"	0.309	1.88	1.9	4	0	0.016	4.8	0
"S60"	"2019-04-29"	"grab"	0.047	1.84	1.6	2	0	0	0	0
"S60"	"2019-06-12"	"grab"	0.181	1.55	1.9	14	0.62	0	0	0.06
"S60"	"2018-08-20"	"eds"	0.347	4.46	2.2	3	0	0.02	6.7	0
"S60"	"2018-05-09"	"grab"	0.086	0.951	1.6	0	0	0.004	0.8	0
"S60"	"2019-06-12"	"grab"	0.021	2.19	2	8	0.36	0.004	4.9	0
"S61"	"2019-06-11"	"eds"	0.201	8.75	0.5	2	0.11	0.003	1.9	0.03
"S61"	"2019-05-23"	"grab"	0.014	5.84	0	3	0	0.004	0	0.05
"S61"	"2019-05-02"	"grab"	0.011	6.27	0	0	0	0.003	0.6	0.07
"S61"	"2019-04-08"	"grab"	0.013	6.23	0	0	0	0	0.8	0.08
"S61"	"2019-06-14"	"grab"	0.016	8.21	0	3	0	0.008	0	0.05
"S61"	"2019-07-01"	"grab"	0.011	7.37	0	3	0	0	1	0.09
"S62"	"2018-10-17"	"grab"	0.011	7.69	0.6	2	0		0	0.24
"S62"	"2018-06-13"	"grab"	0.008	4.52	1	0	0		0.8	0
"S63"	"2018-05-10"	"eds"	0.203	1.87	0.6	49	0	0.016	4.9	0.06
"S63"	"2018-10-18"	"grab"	0.05	7.11	0	0	0		0.6	0.1
"S63"	"2019-04-09"	"grab"	0.039	8.34	0.6	0	0	0	2.3	0
"S63"	"2019-05-21"	"eds"	0.454	8	1.1	5	0.19	0.01	5.3	0
"S63"	"2018-07-05"	"grab"						0		
"S63"	"2019-05-01"	"grab"	0.086	6.87	0.7	0	0	0.003	1.5	0
"S63"	"2019-06-13"	"grab"	0.138	8.78	1.2	2	0.11	0	2.1	0.02
"S63"	"2018-06-14"	"grab"	0.014	4.15	1	0	0		0.8	0
"S63"	"2019-07-01"	"grab"	0.193	7.84	1.2	0	0	0.005	2.5	0.02
"S63"	"2018-05-08"	"grab"	0.056	6.16	0	0	0	0.002	1.8	0.03
"S64"	"2018-05-08"	"grab"	0.017	2.65	1.1	0	0	0.002	2.7	0
"S64"	"2018-06-13"	"grab"	0.012	0.596	2.3	0	0		0	0
"S64"	"2018-07-05"	"grab"						0		
"S64"	"2018-10-17"	"grab"	0.075	0.346	3.3	1	0		0.9	0.02
"S65"	"2019-07-01"	"grab"	0.022	6.66	0	2	0.18	0.004	5.5	0
"S65"	"2019-05-22"	"grab"	0.014	5.45	0	3	0	0.004	1.9	0.02
"S65"	"2019-04-09"	"grab"	0.028	6.6	0.8	2	0	0.004	2.5	0.03
"S65"	"2019-06-11"	"eds"	0.035	6.02	0.6	0	0	0	1.7	0.02
"S65"	"2019-06-13"	"grab"	0.071	6.28	0.7	3	0	0	1.1	0.03
"S65"	"2019-05-01"	"grab"	0.027	6.05	0.6	0	0	0.006	1.7	0
"S66"	"2019-07-01"	"grab"	0.12	8.84	2	3	0	0.005	1.8	0
"S66"	"2019-06-10"	"grab"	0.1	6.03	1.8	0	0	0	0.6	0
"S66"	"2019-04-29"	"grab"	0.142	7.28	1	0	0	0.005	0	0
"S66"	"2019-04-15"	"grab"	0.039	7.55	0.8	0	0	0	0	0
"S66"	"2019-05-20"	"grab"	0.058	4.87				0.004		
"S67"	"2018-06-10"	"eds"	0.323	4.94	1.4	0	0	0.004	1.6	0
"S67"	"2018-06-08"	"grab"	0.171	5.12	1.6	0	0	0	0.7	0
"S67"	"2018-10-22"	"grab"	0.081	2.93	0.8	2	0		0	0.14
"S68"	"2018-04-15"	"eds"			1.3	106	3.5		4.1	0.07
"S68"	"2018-04-09"	"eds"			0.8	76	0.8		3.2	0.04
"S68"	"2018-06-26"	"eds"	0.129	2.71	1.6	85	0	0.003	5.4	0
"S68"	"2018-06-10"	"eds"	1.9	0.44	2.4	7	0	1.11	8.1	0
"S68"	"2018-05-17"	"eds"	1.09	3.88	2.2	3	0	0.049	5.5	0.13
"S68"	"2018-06-08"	"grab"	0.177	1.15	3.5	0	0	0.01	0.9	0
"S68"	"2018-06-26"	"eds"			1.3	8	0	0.271	5.1	0
"S68"	"2018-06-10"	"eds"	1.38	3.78	3.2	2	0	0.047	1.3	0
"S68"	"2018-04-30"	"grab"	0.492	5.36	1.2	3	0	0.005	1.7	0
"S68"	"2018-06-03"	"eds"	1.18	4.57	2.4	4	0	0.011	6.5	0.02
"S68"	"2018-05-17"	"eds"			1.4	2	0		3.6	0
"S68"	"2018-04-09"	"eds"			0.8	103	0.9		2.7	0.02
"S69"	"2018-07-11"	"eds"	0.201	8.2	0.8	39	0.5	0.004	10.8	0.07
"S69"	"2018-07-13"	"eds"	0.176	5.05	0.6	21	0	0.006	6.9	0.03
"S69"	"2018-05-16"	"eds"	0.07	4.05	0	48	0	0.003	2.7	0.05
"S69"	"2018-08-20"	"eds"	0.461	10.9						
"S69"	"2018-05-25"	"grab"	0.144	1.07	0	5	0	0.005	0.9	0
"S69"	"2018-06-08"	"grab"	0.02	5.67	0	0	0	0	0	0.03
"S69"	"2018-04-30"	"grab"	0.054	6.2	0	0	0	0	0.6	0.02
"S69"	"2018-10-22"	"grab"	0.026	2.41	0	4	0		0	0.28
"S69"	"2018-05-31"	"eds"	1.88	9.23	0	52	0	0.081	1.8	0.04
"S69"	"2018-05-16"	"eds"			0	21	0		1.8	0
"S70"	"2019-04-26"	"eds"	0.235	1.7	1.2	6	0	0.004	3.2	0
"S70"	"2019-04-08"	"grab"	0.038	25.2	0.6	2	0	0	1.3	0
"S70"	"2019-06-21"	"eds"	0.141	3.22	1.1	2	0	0.003	1	0
"S70"	"2019-07-01"	"grab"	0.052	40.5	0	4	0	0.005	2.4	0
"S70"	"2019-05-20"	"grab"	0.051	28.8	0.7	3	0	0.007	1.5	0
"S70"	"2019-06-10"	"grab"	0.043	39.6	0.5	0	0	0	0	0
"S70"	"2019-04-29"	"grab"	0.065	22.4	0.5	2	0	0.003	1	0
"S71"	"2018-06-08"	"eds"	0.107	8.46	0.8	6	0	0	2.7	0
"S71"	"2018-06-08"	"eds"	0.057	11.5	1	4	0	0	1.6	0.06
"S71"	"2018-05-22"	"eds"			0	3	0		1	0.05
"S71"	"2018-06-08"	"grab"	0.103	11.2	1	8	0	0	2.2	0.04
"S71"	"2018-05-14"	"eds"			0	431	0		4.1	0.15
"S71"	"2018-05-20"	"eds"			0.7	14	0		2.4	0.09
"S71"	"2018-05-18"	"eds"	0.049	10.8	0	4	0		1.8	0.06
"S71"	"2018-05-16"	"eds"						0		
"S71"	"2018-05-17"	"eds"						0.013		
"S71"	"2018-05-17"	"eds"	0.316	2.18	0.7	13	0		1.6	0.03
"S71"	"2018-10-22"	"grab"	0.061	2.92	0	4	0		0	0.04
"S72"	"2018-05-17"	"eds"	0.115	1.95	0.8	0	0	0.006	1	0
"S72"	"2018-06-05"	"grab"	0.014	1.09	0.9	0	0	0	0.6	0
"S72"	"2018-04-30"	"eds"	0.056	2.13	0.6	2	0	0.016	1	0
"S73"	"2018-06-05"	"grab"	0.01	5.4	0	0	0	0.002	0.7	0.02
"S73"	"2018-05-01"	"grab"	0.025	8.29	0	0	0	0.003	1.6	0.05
"S73"	"2018-10-22"	"grab"	0.015	5.01	0	2	0		0.8	0.05
"S73"	"2018-06-03"	"eds"	0.133	4.1	0.6	29	1	0.006	11.2	0.13
"S74"	"2018-05-16"	"eds"			0.7	34	0.8		1.5	0.07
"S74"	"2018-06-05"	"grab"	0.13	0.671	1.2	0	0	0	0	0
"S74"	"2018-10-24"	"grab"	0.03	0	0.7	3	0		0.6	0.05
"S74"	"2018-05-29"	"grab"						0		
"S74"	"2019-04-03"	"grab"	0.034	0.85	0	3	0	0	1.4	0
"S74"	"2019-05-21"	"eds"	0	0.582	0	0	0	0	1.5	0
"S74"	"2019-06-11"	"grab"	0.489	0.164	0.9	2	0	0	0.7	0
"S74"	"2018-05-01"	"grab"	0.237	2.89	0.7	3	0	0.004	3.1	0
"S74"	"2018-06-07"	"eds"	0.213	1.7	1.4	9	0	0.006	1.7	0
"S74"	"2018-05-16"	"eds"	0.096	0.951	0.8	12	0	0.003	0.8	0
"S74"	"2019-04-30"	"grab"	0.05	0.918	0	2	0	0.003	0	0
"S74"	"2018-05-16"	"eds"	0.385	2.23	1	7	0	0.016	1.7	0.05
"S74"	"2018-06-03"	"eds"	0.373	2.03	1.5	7	0	0.003	0.7	0
"S74"	"2019-05-21"	"grab"	0.06	1.14	0.7	4	0	0.005	1.3	0
"S75"	"2019-05-20"	"eds"	0.023	6.16	0	5	0	0	2.6	0
"S75"	"2019-06-20"	"eds"	0.334	4.98	1.9	6	0.15	0.003	12.4	0.02
"S75"	"2019-05-03"	"grab"	0.017	5.9	0.5	0	0	0	0.5	0
"S75"	"2019-06-14"	"grab"	0.04	5.91	1	2	0	0.004	1.1	0
"S75"	"2019-05-24"	"grab"	0.058	11.2	0.7	5	0	0.005	2.4	0
"S75"	"2019-04-11"	"grab"	0.025	5.99	0	2	0	0	0.7	0
"S75"	"2019-04-30"	"eds"	0.02	5.1	0.7	4	0	0	2.3	0
"S76"	"2018-06-05"	"grab"	0.036	9.04	1	0	0	0.003	0.6	0
"S76"	"2019-04-30"	"grab"	0.022	4.4	0.7	0	0	0.003	1.7	0
"S76"	"2019-07-01"	"grab"	0.152	7.63	1.8	4	0.15	0.01	7.1	0
"S76"	"2019-04-16"	"grab"	0.026	4.89	0.7	0	0	0	2	0
"S76"	"2019-04-27"	"eds"	0.16	3.34	0.9	12	0	0	18.4	0.03
"S76"	"2019-05-21"	"grab"	0.013	1.68	1.1	3	0.1	0.011	7.1	0
"S76"	"2019-05-20"	"eds"	0.043	2.3	0.9	5	0.22	0.004	11.3	0
"S76"	"2018-05-01"	"grab"	0.131	8.51	0.6	2	0	0.005	1.7	0
"S76"	"2018-10-15"	"grab"	0.012	7.52	0.8	0	0		0.7	0
"S76"	"2019-06-11"	"grab"	0.152	8.21	1.2	2	0.09	0.015	4.6	0
"S76"	"2018-05-11"	"eds"			1.2	4	0		9.7	0
"S76"	"2019-05-11"	"eds"	0.63	5.08	0.7	3	0	0.005	4.4	0
"S77"	"2018-06-03"	"eds"	0.253	6.14	1.9	7	0	0.003	4.5	0
"S77"	"2018-06-14"	"eds"	0.531	7.68	2.2	2	0		4.6	0
"S77"	"2018-05-18"	"eds"	0.263	1.51	1.6	6	0	0.037	3.1	0
"S77"	"2018-06-14"	"eds"	0.251	6.61	2	2	0	0.006	2.8	0
"S77"	"2018-05-11"	"eds"			1.2	25	0		12.5	0.02
"S77"	"2018-06-07"	"grab"	0.116	3.62	1.6	0	0	0.006	0.9	0
"S77"	"2018-10-17"	"grab"	0.154	5.94	1.2	0	0		0	0
"S77"	"2018-05-01"	"grab"	0.192	8.09	1.1	0	0	0.004	2.8	0
"S77"	"2018-06-26"	"eds"	0.216	6.26				0.017		
"S77"	"2018-05-25"	"eds"	0.262	7.36	1.4	22	0	0.003	2.3	0
"S78"	"2019-07-01"	"grab"	0.03	12.8	0.6	0	0	0.004	2.3	0
"S78"	"2018-05-24"	"eds"			0	59	0		1.2	0.02
"S78"	"2019-06-13"	"grab"	0.011	13.4	0.6	0	0	0	0.7	0
"S78"	"2018-05-01"	"grab"	0.031	13	0	0	0	0.006	0	0
"S78"	"2019-07-04"	"eds"	0.434	5.04				0.02		
"S78"	"2019-06-16"	"eds"	0.13	12.5	0.7	0	0	0.011	2.5	0.02
"S78"	"2018-06-07"	"grab"	0.015	12.3	0.7	0	0	0	0	0
"S78"	"2019-06-12"	"eds"	0.221	4.51	0.9	0	0	0.039	2.9	0.04
"S78"	"2019-05-20"	"eds"	0	9.76	0	2	0	0	1.1	0
"S78"	"2018-10-17"	"grab"	0.01	10.7	0.6	0	0		0	0
"S78"	"2019-05-02"	"grab"	0	10.5	0.7	0	0	0.003	0.7	0
"S78"	"2019-04-12"	"grab"	0.017	12.1	0.6	0	0	0	0	0
"S78"	"2019-05-23"	"grab"	0	10.3	0	2	0	0.004	1	0
"S79"	"2018-08-28"	"eds"	1.11	10.5						
"S79"	"2019-05-16"	"eds"	0.044	2.98	0.6	3	0.05	0	3.3	0
"S79"	"2018-06-05"	"grab"	0.033	5.57	0.8	0	0	0.003	0	0
"S79"	"2019-05-23"	"grab"	0.041	2.25	0.7	3	0.06	0.009	2.3	0
"S79"	"2019-07-01"	"grab"	0.083	0.53	2.6	2	0.11	0.004	5.2	0
"S79"	"2018-08-10"	"eds"	0.272	4.67						
"S79"	"2019-04-26"	"eds"	0.353	3.58	0.6	20	0	0	8.3	0
"S79"	"2018-04-09"	"eds"			1	94	0.8		3.1	0.06
"S79"	"2019-05-21"	"eds"	0.73	4.54	0.8	11	1.54	0.029	5	0.02
"S79"	"2018-10-15"	"grab"	0.094	3	0.8	0	0		0.6	0.05
"S79"	"2019-06-12"	"eds"	0.289	3.7	1	2	0.1	0.01	3.5	0
"S79"	"2018-08-02"	"eds"	0.596	8.21	1.3	13	0	0.017	5.9	0.02
"S79"	"2019-05-02"	"grab"	0.079	2.23	1.1	0	0	0.003	1.1	0
"S79"	"2019-06-13"	"grab"	0.032	3.66	0.9	2	0.1	0.005	4.1	0
"S79"	"2019-05-11"	"eds"	0.129	2.62	0.7	6	0	0.007	3.1	0
"S79"	"2018-05-01"	"grab"	0.086	9.01	0.8	2	0	0.003	0	0
"S79"	"2019-04-11"	"grab"	0.083	3.56	0.6	0	0	0.004	1.6	0
"S81"	"2019-06-14"	"grab"	0.055	15	1.1	3	0.16	0	2	0
"S81"	"2019-04-12"	"grab"	0.039	12.8	0	3	0	0	0.9	0
"S81"	"2019-05-20"	"eds"	0.19	5.6	1.3	10	0.26	0.01	5.7	0.02
"S81"	"2019-07-01"	"grab"	0.047	15.7	0.9	4	0.29	0.005	4	0.02
"S81"	"2019-05-03"	"grab"	0.018	12.1	0.7	2	0	0	0.8	0
"S81"	"2019-04-30"	"eds"	0.013	10.1	0.8	7	0	0	2.7	0.03
"S81"	"2019-05-24"	"grab"	0.029	13.5	0.9	6	0.17	0.006	1.9	0.02
"S81"	"2019-06-12"	"eds"	0.352	6.55	1.5	5	0.34	0.006	8.1	0.04
"S81"	"2019-05-11"	"eds"		0.075				0.008		
"S82"	"2018-05-16"	"eds"	0.04	0.41	1.1	50	0	0.005	2.5	0.03
"S82"	"2018-04-09"	"eds"			0.9	118	0		2.6	0.07
"S82"	"2018-05-16"	"eds"	0.059	9.82						
"S82"	"2018-04-09"	"eds"			0.8	91	1		2.8	0.07
"S82"	"2018-05-16"	"eds"						0.004		
"S82"	"2018-06-07"	"grab"	0.039	8.03	1.2	0	0	0.003	0.6	0
"S82"	"2018-05-01"	"grab"	0.134	11.5	0.9	2	0	0.011	1.1	0
"S83"	"2019-04-08"	"grab"	0.006	22.6	0.3	0	0	0	0.8	0
"S83"	"2019-06-11"	"grab"	0.051	21.7	0.6	0	0	0	2.6	0.03
"S83"	"2019-05-07"	"grab"	0.01	16.6	0.3	18	0	0.004	35.8	0.03
"S83"	"2019-05-20"	"grab"	0.018	15.1	0	2	0	0.004	1.1	0.04
"S83"	"2019-07-01"	"grab"	0.021	22.1	0.6	0	0	0.005	1.3	0.03
"S83"	"2019-05-20"	"eds"	0.045	12.7	0.6	8	1.7	0	3	0.04
"S83"	"2019-06-13"	"eds"	1.29	0.128	0.9	0	0	0.104	5.3	0.04
"S84"	"2018-05-16"	"eds"	0.046	11.6	0.9	0	0	0	1.9	0
"S84"	"2018-05-03"	"grab"	0.046	4.11	0.6	2	0	0	0.6	0
"S84"	"2018-05-24"	"eds"	0.13	3.72	0.7	26	0		2.7	0
"S84"	"2018-10-15"	"grab"	0.017	1.34	0.7	0	0		0	0
"S84"	"2018-06-05"	"grab"	0.01	2.78	0.9	0	0	0	0	0
"S84"	"2018-05-24"	"eds"						0		
"S85"	"2018-10-15"	"grab"	0.109	11.6	0	0	0		0	0.05
"S85"	"2018-05-15"	"eds"	0.218	11.8	0.8	12	0	0.002	3.3	0.03
"S85"	"2018-05-03"	"grab"	0.311	12.5	0	2	0	0.003	1.2	0.35
"S85"	"2018-05-10"	"eds"	2.22	5.43	0.8	173	0	0.051	3.9	0.05
"S85"	"2019-06-10"	"eds"			2.6	24	0.18	0.009	3.2	0
"S85"	"2019-04-15"	"grab"	0.314	5.62	0.9	7	0	0	0.8	0.01
"S85"	"2018-06-05"	"grab"	0.048	9.96	0.7	0	0	0	0	0
"S85"	"2018-05-24"	"grab"	0.733	11.2	0.9	37	0	0.009	2.9	0
"S85"	"2018-05-27"	"eds"	0.112	0.691	0.8	10	0	0.002	5.3	0.04
"S85"	"2018-06-07"	"eds"	0.396	1.27	1	8	0	0.003	4.3	0
"S85"	"2019-05-20"	"grab"	0.473	2.02	2	4	0	0.006	0.7	0
"S85"	"2019-05-21"	"eds"	0.402	23.9	1.3	9	0	0	17.1	0
"S85"	"2019-06-11"	"grab"	1.44	6.63	2.6	3	0	0.005	1.4	0
"S85"	"2019-04-29"	"grab"	0.662	4.22	1.7	0	0	0.003	0	0
"S87"	"2018-05-02"	"grab"	0.097	3.3	0	0	0	0.004	0.7	0
"S87"	"2018-06-06"	"grab"	0.042	0.807	0	0	0	0	0	0
"S87"	"2018-10-24"	"grab"	0.194	1.7	0	0	0		0	0.26
"S88"	"2018-05-03"	"grab"	0.071	10.3	0	0	0	0.042	4.2	0.02
"S88"	"2018-06-12"	"grab"	0.041	5.24	0.9	0	0		1.9	0
"S88"	"2018-06-24"	"grab"						0		
"S89"	"2018-05-03"	"grab"	0.081	8.23	0.9	0	0	0.004	2	0
"S89"	"2018-06-07"	"grab"	0.07	3.71	1.7	0	0	0	1.1	0.2
"S90"	"2019-04-30"	"grab"	0.018	3.08	1.4	0	0	0.02	1.8	0
"S90"	"2019-04-18"	"grab"	0.015	4.58	0.9	0	0	0.006	1.9	0
"S90"	"2019-05-21"	"grab"	0.018	3.47	0.8	0	0	0.005	1.1	0
"S90"	"2019-07-01"	"grab"	0	2.76	0.8	0	0	0	1.5	0
"S90"	"2019-06-12"	"grab"	0.025	2.74	1	0	0	0	0.6	0
"S91"	"2018-06-05"	"grab"	0.032	7.88	0	4	0	0	0	0.08
"S91"	"2018-05-04"	"grab"	0.107	9.32	0	12	0	0.005	2.1	0.11
"S91"	"2018-10-16"	"grab"	0.019	0	0	7	0		1.6	0.05
"S92"	"2019-05-22"	"grab"	0.061	0.924	1.7	2	0	0.005	0	0
