"ID"	"date"	"method"	"TP_mgL"	"TNb_mgL"	"As_ugL"	"Zn_ugL"	"Pb_ugL"	"Hg_ugL"	"Cu_ugL"	"Cd_ugL"
"S11"	"2019-05-20"	"eds"			1.2	2	0.13		10	0
"S11"	"2019-05-01"	"grab"	0.168	10.6	0.8	0	0	0.003	1.2	0
"S11"	"2019-04-09"	"grab"	0.186	9.81	1.2	0	0	0	0.8	0
"S11"	"2019-05-22"	"grab"	0.141	13.4	1	0	0	0.011	4.4	0
"S11"	"2019-05-03"	"eds"	1.38	11.2	1.1	4	0	0.023	7	0
"S11"	"2019-07-01"	"grab"	0.223	12.3	1	0	0	0.004	1.4	0
"S11"	"2019-06-13"	"grab"	0.047	12.1	0.9	0	0	0	0	0
"S11"	"2019-05-12"	"eds"			1	3	0	0.01	7.7	0.02
"S12"	"2018-05-28"	"eds"	0.078	6.59	0.7	4	0	0.009	2.5	0
"S12"	"2018-06-09"	"eds"	0.302	5.78	0.9	0	0	0.058	2.5	0
"S12"	"2018-05-15"	"eds"	0.182	0.308	0.6	5	0	0.055	5.4	0.05
"S12"	"2018-10-18"	"grab"	0.031	2.87	0	0	0		0	0.02
"S12"	"2018-05-02"	"grab"	0.069	11.1	0.6	0	0	0.003	3.3	0
"S12"	"2018-06-08"	"grab"	0.012	9.75	0.6	0	0	0.002	0	0
"S13"	"2018-05-03"	"grab"	0.013	8.21	0	0	0	0.003	0	0
"S13"	"2018-06-07"	"grab"	0.007	6.38	0.6	0	0	0	0	0
"S13"	"2018-10-17"	"grab"	0.025	0.714	2.1	3	0		1.6	0.04
"S14"	"2019-06-11"	"grab"	0.01	17.4	1.1	0	0	0	2.5	0
"S14"	"2019-05-20"	"grab"	0.378	10.5	1	0	0	0.012	2.5	0
"S14"	"2019-06-20"	"eds"	0.369	13.6				0		
"S14"	"2019-05-20"	"eds"			0.8	2	0.07	0	5.7	0
"S14"	"2019-04-16"	"grab"	0.057	12.1	0.6	0	0	0	0	0
"S14"	"2019-04-29"	"grab"	0.299	11.3	0.7	0	0	0.003	0.8	0
"S14"	"2019-05-11"	"eds"			1	5	0	0.009	7	0
"S14"	"2019-07-01"	"grab"	0.112	14.3	1.2	6	0.1	0.004	1	0
"S15"	"2019-05-01"	"grab"	0.035	5.92	0.5	0	0	0.007	1	0
"S15"	"2019-04-10"	"grab"	0.011	6.55	0	0	0	0	0.6	0
"S15"	"2019-06-13"	"grab"	0.024	8.27	0	0	0	0	0	0
