"ID"	"year"	"streamType"	"FS.confirmed"	"URL.portal"
"S98"	2019	"Typ 7: Grobmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"http://gldweb.dhi-wasy.com/gld-portal/"
"S99"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"http://gldweb.dhi-wasy.com/gld-portal/"
"S100"	2018	"Typ 11: Organisch geprägte Bäche"	"no"	"http://gldweb.dhi-wasy.com/gld-portal/"
"S101"	2019	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"http://gldweb.dhi-wasy.com/gld-portal/"
"S102"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://antares.thueringen.de/cadenza/pages/map/default/index.xhtml;jsessionid=20EC2C95A65D105F9AA39F11DD99E4DB"
"S103"	2018	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"yes"	"http://www.tlug-jena.de/kartendienste/"
"S104"	2019	"Typ 6_K: Feinmaterialreiche, karbonatische Mittelgebirgsbäche des Keupers"	"no"	"https://www.umweltatlas.bayern.de/mapapps/resources/apps/lfu_gewaesserbewirtschaftung_ftz/index.html?lang=de"
"S105"	2019	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5781020.00&Y=624800.00&zoom=9"
"S105"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5781020.00&Y=624800.00&zoom=9"
"S106"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5847410.00&Y=590750.00&zoom=8"
"S107"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&catalogNodes=&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5844155.00&Y=591403.75&zoom=10"
"S108"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5724525.00&Y=612110.00&zoom=9"
"S109"	2019	"Typ 7: Grobmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Oekologischer_Zustand_Potenzial_Fliessgewaesser&X=5786135.00&Y=620630.00&zoom=9"
"S110"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S111"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S112"	2019	"Typ 6 oder Typ 5.1"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S113"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S114"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S114"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S115"	2018	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"http://gldweb.dhi-wasy.com/gld-portal/"
"S116"	2018	"Typ 5 oder 5.1 (silik. Grundgestein)"	"yes"	
"S116"	2019	"Typ 5 oder 5.1 (silik. Grundgestein)"	"yes"	
"S117"	2018	"Typ 5 oder 5.1 (silik. Grundgestein)"	"yes"	
"S118"	2019	"Typ 6: Feinmaterialreiche, karbonatische Mittelgebirgsbäche"	"no"	"http://antares.thueringen.de/cadenza/pages/map/default/index.xhtml;jsessionid=20EC2C95A65D105F9AA39F11DD99E4DB"
"S119"	2018	"Typ 18: Löss-lehmgeprägte Tieflandbäche"	"no"	"https://www.umweltkarten-niedersachsen.de/Umweltkarten/?topic=Wasserrahmenrichtlinie&lang=de&bgLayer=TopographieGrau&layers=Fliessgewaesser_WRRL,PrioritaereFliessgewaesserinNiedersachsen&X=5781020.00&Y=624800.00&zoom=9"
"S120"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S121"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S122"	2018	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/pages/map/default/index.xhtml"
"S123"	2019	"Typ 5: Grobmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/pages/map/default/index.xhtml"
"S124"	2018	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"https://www.umwelt.sachsen.de/umwelt/infosysteme/ida/pages/map/default/index.xhtml"
