"ID"	"year"	"streamType"	"FS.confirmed"	"URL.portal"
"S55"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S56"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S56"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S57"	2019	"Typ 19: Kleine Niederungsfließgewässer in Fluss- und Stromtälern"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S58"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S58"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S59"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S59"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S60"	2019	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S60"	2018	"Typ 5.1: Feinmaterialreiche, silikatische Mittelgebirgsbäche"	"no"	"https://gda-wasser.rlp-umwelt.de/GDAWasser/client/gisclient/index.html?applicationId=12588&forcePreventCache=14143139175"
"S61"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"http://zebis.landsh.de/webauswertung/pages/map/default/index.xhtml"
"S62"	2018	"Typ 19: Kleine Niederungsfließgewässer in Fluss- und Stromtälern"	"no"	"http://zebis.landsh.de/webauswertung/pages/map/default/index.xhtml"
"S63"	2019	"Typ 16: Kiesgeprägte Tieflandbäche"	"no"	"http://zebis.landsh.de/webauswertung/pages/map/default/index.xhtml"
