"ID"	"date"	"flow_velocity_ms"
"S85"	2018-10-15	0.07
"S86"	2019-04-15	0.1
"S86"	2019-04-29	0.1
"S86"	2019-05-20	0.05
"S86"	2019-06-11	0.6
"S87"	2018-04-10	0.45
"S87"	2018-05-22	0.15
"S87"	2018-06-12	0.22
"S87"	2018-07-10	0.19
"S87"	2018-08-01	0.13
"S88"	2018-04-10	0.4
"S88"	2018-05-22	0.1
"S88"	2018-06-12	0.07
"S89"	2018-04-10	0.35
"S89"	2018-05-23	0.16
"S89"	2018-06-13	0.033
"S89"	2018-07-03	0
"S90"	2019-04-18	0.085
"S90"	2019-04-30	0.08
"S90"	2019-05-21	0
"S90"	2019-06-12	0
"S91"	2018-04-10	0.6
"S91"	2018-05-23	0.5
"S91"	2018-07-05	0.4
"S91"	2018-10-16	0.5
"S92"	2019-04-11	0.27
"S92"	2019-05-01	0.1
"S92"	2019-05-22	0.02
"S92"	2019-06-12	0.1
"S93"	2019-04-11	0.25
"S93"	2019-05-01	0.1
"S93"	2019-05-22	0.2
"S93"	2019-06-13	0.2
"S94"	2018-04-11	0.2
"S94"	2018-05-03	0.2
"S94"	2018-05-24	0.1
"S94"	2018-07-04	0.1
"S94"	2018-10-17	0
"S95"	2019-04-09	0.35
"S95"	2019-05-06	0
"S95"	2019-05-20	0.05
"S95"	2019-06-11	0.1
"S96"	2019-04-09	0.4
"S96"	2019-05-01	0.36
"S96"	2019-05-22	0.25
"S96"	2019-06-13	0.39
"S97"	2019-04-08	0.3
"S97"	2019-04-29	0.5
"S97"	2019-05-20	0.21
"S97"	2019-06-10	0.01
"S98"	2018-04-11	0.6
"S98"	2018-05-01	0.5
"S98"	2018-05-24	0.5
"S98"	2018-07-04	0.15
"S98"	2018-10-17	0.22
"S98"	2019-05-23	0.4
"S98"	2019-06-13	0.4
"S99"	2019-04-11	0.02
"S99"	2019-05-02	0.02
"S99"	2019-05-23	0.01
"S99"	2019-06-13	0
"S100"	2018-04-11	0.25
"S100"	2018-05-22	0.02
"S100"	2018-06-14	0
