"siteID"	"year"	"TUmax"	"speartaxa"	"sapr"	"eptProz"	"TUmetalpeak"	"fliessgeoMean"	"Agriculture"	"area_km2"	"Gesamt"	"grabby"	"pHmean"	"pHquant9"	"NH4"	"NO2"	"NO3"	"PO4"	"TN_mgLlog"	"TP_mgLlog"	"meanO2p25"	"stream_width_m"	"water_depth_cm"	"meantempP75_nt"	"tempP75_nt"
"S1"	2018	-3.55	1.33220395993351	1.72142857142857	52.9411764705882	-0.571043156613894	0.388173241755146	28.4345425147999	20.71528	3.1	55	8.19	8.36	0.0881360887005513	0	0	0.0925452076056063	-0.0136762229492346	-1.21112488422458	8.08	1.97	16.9	17.65	17.65
"S2"	2019	-2.95	0.671482445375702	2.1125	23.5294117647059	-0.722343386325738	0.0937810475363653	92.9470093972882	14.42178	2.5	20	7.85	8.016	0.552911450216509	0.0791812460476248	0.897923849397611	1.11027313229713	0.983626287124535	-0.209011524911184	7.284819	1.60833333333333	14.4	20.62	20.62
"S3"	2019	-2.57	0.81588544643709	1.98	20	-0.117140851922343	0.257697168908655	41.8049502914326	4.79816	5.2	30	7.606	7.696	0.112336835745317	0.0696680969115956	1.11823164832703	0.337618972419386	0.380211241711606	-0.691649051413274	7.284819	2.19333333333333	15.8	18.98	18.98
"S4"	2018	-2.55	0.707299490363999	2.01	30.3921568627451	0.171606389892468	0.127467944241962	59.4392250633468	9.79099	4.2	40	8.18	8.345	0	0.0211892990699381	0.740362689494244	0.0969100130080564	0.511883360978874	-0.903089986991944	7.284819	2.355	21.2333333333333	18.50484	19.56
"S5"	2019	-3.14	0.829723200576285	2.04666666666667	20.8333333333333	-0.369487749486761	0.0752120618617279	57.0509523473652	17.29742	4.7	80	7.892	8.144	0.455773409227347	0.174234304941022	1.82130255284974	1.23318401004055	1.33181181599674	-1.11463877996849	6.23	1.57333333333333	21	19.39	19.39
"S6"	2018	-1.89	0.482584506131468	2.18571428571429	36	-0.0688356532783009	0.1	28.2239676263047	10.86492	3.5	95	7.77	7.886	0.146128035678238	0.0115704435972782	0.488550716500444	0.290034611362518	0.474361976032631	-0.580209413893637	4.83	2.35	7.5	21.78	21.78
"S7"	2019	-1.26	1.02647188043331	1.98064516129032	36.3636363636364	-0.152032754424662	0.29756065178477	55.6418661177723	19.07212	5.2	90	7.2946	7.6292	0.0135955235372895	0.0313276577611308	0.81512595339368	0.0667730370850256	0.36078268987328	-0.975514332300833	7.78	3.34833333333333	35.4	20.55	20.55
"S8"	2019	-2.18	0.728347402470648	2.00810810810811	14.8148148148148	-0.562857725561801	0.111032151746146	47.8767485339011	17.45759	5.1	70	7.2116	7.9548	0.121887985103681	0.0454794531107797	0.800153229068205	0.117735179330497	0.186956335465412	-1.52724355068279	4.41	3.02	25.75	19.94	19.94
"S9"	2018	-2.12	0.626899804362004	2.17714285714286	23.9130434782609	-0.0506235487057174	0.383615206330008	45.7144030617316	18.53639	4.8	55	7.725	8.14	0.225309281725863	0.301029995663981	1.66275783168157	0.450249108319361	1.18920948958231	-0.0178192544035973	6.33	1.72	18	18.03	18.03
"S10"	2019	-2.45	1.05521601921576	1.89038461538462	52.8301886792453	-0.0810008523310812	0.189287203344058	49.8422200898923	19.2927	2.2	75	7.134	7.61	0.0408395946853401	0.0827853703164501	1.74173447054384	0.312558149521521	1.16648931832595	-0.26440110030182	6.97	1.87166666666667	28.6666666666667	17.61	17.61
"S11"	2019	-2.13	0.248732004715121	2.1	7.89473684210526	-0.114512071994421	0.360421712120213	46.1465442348406	5.92289	4.5	0	7.12	7.664	0.440909082065218	0.138239523465188	1.61371711601996	0.263351968393566	1.11260500153457	0.139879086401236	7.77	1.434	22.75	16.59	16.59
"S104"	2019	-4.08	1.00751445279614	1.86444444444444	40.7407407407407	-0.670909776625381	0.262180539751404	0	2.70717	1.9	65	6.864	6.888	0.00740635150367123	0.0176175733396735	0.626504608459312	0.0340666785975607	0.0445397603924109	-2.03621217265444	8.15	2.238	17.9166666666667	16.62	16.62
"S12"	2018	-2.52	1.13724203634232	1.98548387096774	37.3134328358209	-0.365570998389587	0.310369114783072	52.7532777493225	5.90705	4.2	55	7.98	8.32	0.0718820073061254	0.290034611362518	1.51851393987789	0.225309281725863	1.03462845662532	-0.555955204081924	7.14	1.06	16	17.71	17.71
"S13"	2018	-5	1.28974742063429	2.15	20	-0.873033660993569	0.186395963659568	53.1620788135012	5.77258	4.4	15	7.80166666666667	8.355	0	0.133538908370217	0.255272505103306	0.0334237554869497	0.894537584995747	-1.6458915608526	5.17	2.67	22	19.77	19.77
"S14"	2019	-2.49	0.284295023898658	2.424	9.75609756097561	-0.260131430570583	0.421716332650875	68.9855821937726	12.99249	5.4	25	6.75	6.76	0.0970489650111305	0.192957529884656	1.69653810775702	0.489339625857985	1.20844135643857	-0.43297363384094	8.61	1.472	21.8333333333333	18.09	18.09
"S15"	2019	-2.52	0.815327046739883	1.74313725490196	41.2698412698413	-0.105120770221593	0.360020574367851	47.9427710325235	14.48515	3	95	7.278	7.922	0.0726909550128686	0.0520009801013	1.56546764465145	0.104896629948966	1.09691001300806	-0.446116973356126	7.88	3.082	31.0833333333333	18.16	18.16
"S16"	2019	-2.55	0.793860867708847	2.12857142857143	36.1702127659575	-0.702291673063365	0.504926703274484	36.6570037333393	12.15279	2.4	60	7.164	7.772	0.0655797147284484	0.122346966255079	1.52928145721442	0.188140698788865	0.966798546383361	-0.87942606879415	8.27	2.934	23	18.19	18.19
"S17"	2019	-2.8	0.764876140809825	2.195	43.3333333333333	0.391760789417975	0.548360451923139	52.9842520671733	10.05136	3.1	35	7.19	7.834	0.127039973455082	0.0954483265381222	1.4016451933519	0.196231470442874	0.857453117035266	-0.812479279163537	8.28	5.908	17.1666666666667	17.58	17.58
"S18"	2018	-1.43	0.536879776105676	2.12280701754386	25	-0.278768663518578	0.193189153507296	47.9119755278757	21.24045	4.3	55	7.85666666666667	8.225	0.361727836017593	0.301029995663981	1.81624129999178	0.287801729930226	0.996686755600172	-0.307505592496916	6.03	1.3	25	19.09	19.09
"S19"	2018	-2.22	0.718825680209224	2.16388888888889	28.2051282051282	-0.0392980574693226	0.225066261829452	56.1669441137819	11.61054	4.6	70	8.05833333333333	8.41	0.0293837776852097	0.267171728403014	1.57403126772772	0.224014811372864	0.985650973690949	-0.364013888199167	7.01	1.24	19	18.81	18.81
"S20"	2019	-3.08	0.66825194363106	2.12222222222222	36.3636363636364	-0.0261874231765393	0.43782213252334	70.2109653980832	21.86479	4.7	50	7.208	8.028	0.229169702539101	0.165600402517411	1.67497497891561	0.292256071356476	1.07990446766672	-0.238824186844269	5.76	3.116	18	20.59	20.59
